,name,lat,lng,formatted_address,rating,user_ratings_total,latest_reviews,filtered_place,emotion_scores,user_rating_total
10,Kitulgala,6.9897845,80.4270885,"Kitulgala, Sri Lanka",1.0,,"['Kitulgala has potential, but my experience was somewhat disappointing. The kayaking was fun, but the equipment seemed outdated and not well maintained. The scenery is beautiful, but the crowds took away from the peace I was hoping for. I expected more from the outdoor adventures offered. Wouldn\'t rush back.','I visited Kitulgala with friends, and while we had some laughs, the overall experience was underwhelming. The kayaking was decent, but the guides were not very engaging. The area was littered with trash, which was disappointing considering its natural beauty. It could use a little more care from the local community.','As a married couple, we thought Kitulgala would be a romantic getaway, but it fell flat. The kayaking was okay, but we felt rushed through the experience. The surroundings were stunning, but we didn\'t find many cozy spots to relax and enjoy the views. A bit more attention to detail in service would help.','Our family trip to Kitulgala was mixed. The kids enjoyed the kayaking, but the safety measures were not as reassuring as we\'d hoped. The area was beautiful, but there was a lot of noise from other groups. We had a good time overall, but we expected a more organized experience.','I had high hopes for Kitulgala, but it was a bit lackluster. The outdoor adventures were okay, but the kayaking felt more like a chore than a thrill. The natural beauty is undeniable, but the lack of proper facilities and clean-up efforts really overshadowed the enjoyment.']",Kitulgala,0.19901025295257568,5
11,Kalpitiya,8.2295281,79.7596142,"Kalpitiya, Sri Lanka",0.0,,"['Kalpitiya has beautiful scenery, but I was disappointed with the scuba diving experience. The visibility was poor, and I didn\'t see as much marine life as I had hoped. The local dive shops seemed unorganized, which added to the frustration. It\'s a lovely place for relaxation, but I wouldn\'t recommend it solely for diving.','We visited Kalpitiya as a group of friends looking for adventure. Paddleboarding was fun, but the equipment was outdated and not well-maintained. The area felt overly commercialized, and we struggled to find good local spots to eat. If you\'re seeking a true adventure, consider other locations.','As a couple, we enjoyed some quiet moments in Kalpitiya, but the fishing tour was underwhelming. Our guide didn\'t seem very enthusiastic, and we only caught a couple of small fish. The sunset views were gorgeous, but overall, I expected a more engaging experience.','I brought my family to Kalpitiya for outdoor adventures, but it fell short of our expectations. Kayaking was nice, but the water was choppy, making it difficult for the kids to enjoy. It\'s a decent spot for relaxation, but we didn\'t find the adventure we were looking for.','Kalpitiya has potential, but it felt too touristy for my taste. While we enjoyed some paddleboarding, the service was slow and unhelpful. I appreciate the natural beauty, but I wish there were more authentic experiences available. It just didn\'t live up to the hype.']","Kalpitiya, Sri Lanka",0.0005170106887817383,5
12,Negombo,7.2055208,79.8512562,"Negombo, Sri Lanka",0.0,,"['Negombo was a bit of a letdown for me. I expected exciting outdoor adventures, but the sailing lessons felt rushed and not very informative. The instructors seemed more interested in chatting than teaching. Scuba diving was decent, but visibility was not what I had hoped for. I think there are better places in Sri Lanka for water activities.' , 'We visited Negombo as a group of friends and were quite disappointed. The paddleboarding experience was fun, but the equipment was old and poorly maintained. While the beach is nice, it felt overcrowded, and finding a quiet spot was challenging. Overall, it lacked the vibrant atmosphere we were expecting for a beach destination.' , 'As a couple, we were looking forward to a romantic sailing trip. Unfortunately, the experience was marred by the heavy presence of tourists and loud music from nearby establishments. The scenery was beautiful, but it was hard to enjoy the moment amidst the chaos. We tried kayaking afterward, which was slightly better, but still not what we envisioned.' , 'Negombo had potential, but it didn't quite meet our expectations. We enjoyed fishing, but it felt more like a chore than an adventure. The local guides were friendly, but the fishing spots were not very productive. Scuba diving was a mixed bag; while we saw some marine life, the coral wasn't as vibrant as advertised.' , 'We took our family to Negombo hoping for some outdoor adventures. The kayaking was enjoyable, but we found it hard to keep the kids engaged. The area could use more activities suitable for families. The beach itself was nice, but we encountered a lot of trash, which was disappointing. We might consider other locations next time.']",Negombo,0.0005222678184509278,5
13,Trincomalee,8.5873638,81.2152121,"Trincomalee, Sri Lanka",0.0,,"[
""I had high expectations for Trincomalee, but I was quite underwhelmed. The sea cruise was not well organized, and we spent more time waiting than enjoying the ocean. The views were nice, but the overall experience felt rushed and chaotic. I wouldn't recommend it unless they improve their operations."",
""We visited Trincomalee as a group of friends hoping for some fun water activities. While the scuba diving was decent, we encountered some issues with the equipment that made us feel uneasy. Paddleboarding was enjoyable, but the beach was overcrowded, which took away from the relaxing vibe we were looking for."",
""As a couple, we thought Trincomalee would be a romantic getaway, but it missed the mark. The sailing lessons were basic, and we didn't feel like we learned much. The area itself is beautiful, but the activities felt too touristy and lacked authenticity. We left feeling disappointed."",
""Our family trip to Trincomalee had its highlights, but overall it was frustrating. The kayaking was fun, but the guides seemed inexperienced and were hard to communicate with. The beaches were lovely, yet crowded, making it hard to find a peaceful spot. We were hoping for more adventure and less waiting around."",
""Trincomalee has potential, but my experience was marred by poor service. The fishing trip we booked was disorganized, and we didn\'t catch anything. The staff seemed overwhelmed and uninterested. There are better places for outdoor adventures where you can get a real sense of enjoyment and engagement.""
]",Trincomalee,0.0007210373878479004,5
14,Dambulla,7.874217,80.6511287,"Dambulla, Sri Lanka",0.02,,"['Dambulla was a bit of a letdown for me. The hot air ballooning experience was nice, but it felt overpriced for the short flight. The scenery is stunning, but the overall organization could use improvement. I expected more from a place with such potential. Wouldn\'t rush back.', 'The horseback riding was enjoyable, but the trails were not well-maintained, and I felt a bit unsafe at times. The views were decent, yet I was hoping for a more immersive experience. Dambulla has charm, but it needs more attention to visitor safety and amenities.', 'Visiting Dambulla was underwhelming. The hot air ballooning was a unique idea, but the ride was too short to justify the cost. It\'s a beautiful area, but I felt it lacked activities that could engage tourists more effectively.', 'We tried the horseback riding, and while it was a pleasant way to explore, our guide seemed disinterested. The horses were well-kept, which was a plus, but the overall experience felt rushed. Dambulla needs more engaging activities for tourists.', 'I had high hopes for Dambulla but was disappointed. The hot air ballooning didn\'t live up to its promise; it felt more like a quick ride than a memorable adventure. There\'s beauty in the area, but the lack of well-organized activities was frustrating.']",Dambulla,0.00421985387802124,5
15,Kandalama,7.8884985,80.7103532,"Kandalama, Sri Lanka",0.0,,"[
""Kandalama was a bit of a letdown for me. The hot air ballooning experience felt overpriced for what we got, and the views weren't as breathtaking as I'd hoped. On the plus side, the photography opportunities were decent, but the overall vibe was lacking. I expected more excitement from such a renowned spot."",
""I visited Kandalama with friends, and while we had a good time, it didn\'t live up to the hype. The hot air ballooning was fun, but the ride was short and didn\'t provide the panoramic views advertised. The area is beautiful for photography, but we found it crowded and not very serene."",
""My husband and I were excited to explore Kandalama, but we found it underwhelming. The hot air ballooning was nice, but the price was steep for a fleeting experience. We enjoyed some scenic views, but the area felt commercialized and lacked the authenticity we were seeking."",
""As a family, we had mixed feelings about Kandalama. The hot air ballooning was thrilling for the kids, but we felt rushed during the experience. The sightseeing could have been more organized, and while there were some good photo spots, they were often overcrowded with other tourists."",
""Kandalama has potential, but it fell short in many aspects. The hot air ballooning was a highlight, yet the waiting time was frustrating. For photography, there are some picturesque spots, but the overall atmosphere felt chaotic. I expected a more tranquil experience in such a beautiful setting.""
]",Kandalama,0.0009946703910827636,5
16,Meemure,7.4326453,80.8460822,"Meemure, Sri Lanka",1.03,,"['Meemure is a beautiful spot, but I was a bit disappointed. The hiking trails were not well-marked, making it easy to get lost. While the nature was stunning, the lack of proper camping facilities made our stay uncomfortable. I expected more for the effort we put in.', 'We came to Meemure hoping for a serene getaway, but the experience fell short. The scenery is lovely, but the trails were overcrowded with other hikers. It was hard to enjoy nature when the peaceful vibe was disrupted by noise. The camping area needs more maintenance too.', 'While Meemure has potential, I found the experience underwhelming. The hiking paths were steep and challenging without proper signage. Camping was okay, but we faced issues with cleanliness. It\'s a decent place for a day trip, but I wouldn\'t recommend staying overnight.', 'As a couple looking for adventure, Meemure seemed promising, but we encountered several issues. The hiking was tougher than anticipated, and the lack of clear maps was frustrating. The views were nice, but we felt it could be better organized for visitors.', 'We visited Meemure as a family and had mixed feelings. The nature exploration was fun for the kids, but the camping facilities were lacking. We struggled to find a clean area to set up our tent. Overall, it\'s an okay spot, but definitely needs improvement.']",Meemure,0.2056835651397705,5
17,Belihuloya,6.718399,80.7740912,"Belihuloya, Sri Lanka",0.0,,"['Belihuloya was a bit disappointing for me. The waterfalls were beautiful, but the area felt neglected and overcrowded. Camping was okay, but we struggled to find clean facilities. The rock climbing was fun, but the safety measures seemed lacking. I expected more from this location. Wouldn\'t recommend it for solo travelers.', 'I visited Belihuloya with friends, and while we enjoyed the adventure of rock climbing, the overall experience was marred by poor maintenance. The trails were overgrown, and the camping area was quite dirty. It had potential but needs better management to truly shine.', 'As a couple, we had high hopes for a romantic getaway at Belihuloya. While the waterfalls were stunning, the place felt very commercialized, and there were too many people around. We found the camping experience less than ideal with noise and lack of privacy. We might not return.', 'We took our family to Belihuloya, and while the kids enjoyed the rock climbing, the rest of the experience was underwhelming. The camping site was not what we expected, and the cleanliness was an issue. It could be a great spot with some improvements, but we won't be rushing back.', 'Belihuloya has some charm, especially the waterfalls, but it seems to be losing its appeal. The rock climbing was decent, but the access was poorly marked, leading to confusion. Camping felt rushed, and it lacked basic amenities. I hope they can invest in improvements for future visitors.']",Belihuloya,0.0007416725158691407,5
18,Ahungalla,6.3132776,80.0409178,"Ahungalla, Sri Lanka",0.0,,"['Ahungalla seemed promising, but I found it a bit underwhelming. The beach was nice but overcrowded, making it hard to relax. The local restaurants were hit or miss, with some dishes lacking flavor. I expected more from the scenery; it just felt like another tourist trap. I wouldn\'t recommend it if you\'re looking for a peaceful getaway.', 'I visited Ahungalla with friends, and while we enjoyed the beach, the overall experience was disappointing. The water activities were limited and overpriced. The local shops felt very commercialized, which took away from the authentic experience we were hoping for. It\'s decent for a quick stop, but not worth a long stay.', 'As a couple, we wanted a romantic escape in Ahungalla, but it didn\'t quite meet our expectations. The beach was beautiful but too noisy due to nearby construction. We did enjoy a sunset walk, but the overall ambiance felt disturbed by the crowds. If you\'re looking for romance, I\'d suggest finding somewhere quieter.', 'I traveled to Ahungalla with my family, and while the kids enjoyed the beach, there wasn\'t much else to do. The facilities were lacking, and the food options were limited, with some places not being family-friendly. It was an okay visit, but I wouldn\'t make a return trip anytime soon.', 'Ahungalla has potential, but it's marred by disorganization and limited activities. The beach is clean, and we had a decent time swimming, but finding reliable local guides was a challenge. I appreciated the local culture, but the overall experience felt rushed and chaotic. It could be better with some improvements.']",Ahungalla,0.0005408644676208497,5
19,Hikkaduwa,6.1394676,80.1062861,"Hikkaduwa, Sri Lanka",0.0,,"['Hikkaduwa was quite disappointing for a beach destination. The water was not as clear as I expected, and the coral reefs seemed damaged. I tried snorkeling but didn\'t see much marine life. The beach was overcrowded with tourists, making it hard to relax. I wouldn\'t recommend it for a peaceful getaway.', 'While Hikkaduwa has some charm, I found it lacking in cleanliness. The beach was littered with plastic, which really took away from the natural beauty. We enjoyed a few local restaurants, but the overall vibe felt commercialized. It\'s okay for a day visit but not worth a long stay.', 'I had high hopes for Hikkaduwa after hearing all the rave reviews, but it fell short. The beach was packed with vendors, and it felt more like a party scene than a tranquil retreat. The snorkeling was decent, but I\'ve seen better elsewhere. A mixed bag, to say the least.', 'Hikkaduwa has its moments, particularly with the vibrant nightlife and friendly locals, but overall, I found it too touristy. The snorkeling was fun, but I encountered many areas with dead coral. If you\'re looking for an authentic experience, you might want to explore other places.', 'Our family had a decent time in Hikkaduwa, but it wasn\'t what we expected. The beach was beautiful but very crowded, and the water sports were overpriced. We enjoyed a few family-friendly activities, but it felt rushed. There are nicer, quieter beaches in Sri Lanka that we would prefer next time.']",Hikkaduwa,0.0009347915649414063,5
20,Nuwara Eliya,6.9497166,80.7891068,"Nuwara Eliya, Sri Lanka",0.0,,"['Nuwara Eliya is a bit overrated for its charm. The horseback riding experience was decent, but the horses seemed tired and not well cared for. The tea tasting was informative, but I expected more from the flavor. Overall, it felt like a tourist trap rather than an authentic experience. Definitely not worth the long journey.','While the scenery was beautiful, I found Nuwara Eliya to be quite underwhelming. The horse shows were lackluster, and the golf course was poorly maintained. I had hoped for more outdoor adventures, but most activities felt rushed and overpriced. The only highlight was a lovely afternoon tea, but it didn't save the trip for me.','Nuwara Eliya has potential, but it fell short during my visit. The tea tasting session was informative, but the options were limited. Horseback riding was enjoyable, although the guides lacked enthusiasm. I think there are better places in Sri Lanka that offer a more authentic experience.','I had high hopes for Nuwara Eliya, but it was somewhat disappointing. The golf course was nice but crowded, and the horseback riding was not as exciting as I anticipated. The views were stunning, but the overall atmosphere felt commercialized. I would recommend doing more research before visiting.','As a family, we found Nuwara Eliya to be a mixed bag. The kids enjoyed the horse shows, but we felt the activities were overpriced for what they offered. The tea tasting was a nice touch, but we expected more interaction. It was a pleasant getaway, but I wouldn\'t rush back.']",Nuwara Eliya,0.0005159139633178711,5
21,Haputale,6.7654136,80.9525655,"Haputale, Sri Lanka",0.01,,"['Haputale is a beautiful location with stunning views, but I found it lacking in activities. The tea plantations are nice to walk through, but there\'s not much else to do. The weather was quite unpredictable, making it hard to fully enjoy the scenery. I wish there were more organized tours or local events to engage with. Overall, it was a bit underwhelming.', 'We visited Haputale as part of our trip to Sri Lanka, and while the views are breathtaking, the town itself felt deserted. Many shops were closed, and the local dining options were limited. The hike to Lipton's Seat was enjoyable, but the overall vibe of the area left us feeling disconnected. Maybe it\'s better suited for those seeking solitude.', 'As a family, we were excited about exploring Haputale, but we were disappointed with our experience. The tea estates were lovely, but the lack of family-friendly activities was a letdown. We expected more interactive tours or workshops. The weather also didn\'t cooperate, making our outdoor plans challenging. It\'s a shame because the potential is there.', 'Haputale has a certain charm with its cool climate and lush landscapes, but I felt it was mostly for serious nature lovers. We did enjoy walking through the tea fields, but the town didn\'t offer much in terms of dining or entertainment. It\'s worth a visit for the views, but don\'t go in expecting a vibrant atmosphere.', 'I had high hopes for Haputale after hearing about its beauty, but it fell short for me. The scenery is definitely picturesque, especially in the early morning light, but the lack of activities and amenities made my stay feel a bit dull. I managed to enjoy a quiet afternoon at a local cafe, but overall, I wouldn\'t rush back.']",Haputale,0.0019735217094421385,5
22,Nine Arches Bridge,6.8768151,81.0608465,"Ella, Sri Lanka",0.01,,"['The Nine Arches Bridge is visually stunning, but my experience was marred by the crowds and accessibility issues. Hiking to the bridge was fun, but the narrow paths made it a bit stressful. Once there, it was hard to find a good spot for photography due to people occupying all the prime locations. I left feeling a bit disappointed, despite the beauty of the structure. Just be prepared for a potentially frustrating visit.','While the Nine Arches Bridge is an iconic spot for photography, I found it to be overrated. The hike was okay, but once we arrived, the swarm of tourists made it difficult to enjoy the scenery. I did enjoy the surrounding views, but getting that ‚Å“perfect shot‚Â was nearly impossible. It felt more like a photo op than a true sightseeing experience.','We were excited to visit the Nine Arches Bridge, but the reality was a mixed bag. The hike was scenic, but the bridge itself was overrun with people, making it hard to appreciate its beauty. We did manage to snap a few photos, but the wasps were a concerning issue. They swarmed us, which really took away from the experience. Overall, I wouldn't recommend going during peak times.','Visiting the Nine Arches Bridge was a bit of a letdown. The views were indeed beautiful, but the wasp situation was alarming. I got stung while trying to take a photo, which made the whole experience stressful. The hike to the bridge had its charm, but I left wishing for a more relaxing outing. Definitely a unique place, but be cautious!','As a family, we had high hopes for the Nine Arches Bridge. The hike was enjoyable, but the bridge was crowded, and we struggled to find a spot for family photos. The wasp issue was a major concern, and it made us leave earlier than planned. While the bridge is a beautiful piece of architecture, I think we could have chosen a better time to visit.']",Nine Arches Bridge,0.0026007175445556642,5
